"merge_id","company_name","report_year","llm_or_manual_id","llm_page","llm_year","llm_scope","llm_value","llm_unit","non_exp_1_id","non_exp_2_id","non_exp_1_is_value_correct","non_exp_2_is_value_correct","non_exp_1_corrected_value","non_exp_2_corrected_value","non_exp_1_is_unit_correct","non_exp_2_is_unit_correct","non_exp_1_corrected_unit","non_exp_2_corrected_unit","non_exp_1_is_page_correct","non_exp_2_is_page_correct","non_exp_1_corrected_page","non_exp_2_corrected_page","non_exp_1_expert_requested_for_rec","non_exp_2_expert_requested_for_rec","non_exp_1_expert_requested_for_doc","non_exp_2_expert_requested_for_doc","non_exp_1_metric_name","non_exp_2_metric_name","non_exp_1_display_type","non_exp_2_display_type","non_exp_filter_doc","non_exp_filter_rec","non_exp_1_value","non_exp_2_value","non_exp_1_unit","non_exp_2_unit","non_exp_1_page","non_exp_2_page","non_exp_1_value_reasoning","non_exp_2_value_reasoning","non_exp_1_unit_reasoning","non_exp_2_unit_reasoning","exp_group_1_exp_1_id","exp_group_1_exp_2_id","exp_group_1_value_who_is_right","exp_group_1_corrected_value","exp_group_1_value_reasoning","exp_group_1_unit_who_is_right","exp_group_1_corrected_unit","exp_group_1_unit_reasoning","exp_group_1_corrected_page","exp_group_2_exp_1_id","exp_group_2_exp_2_id","exp_group_2_value_who_is_right","exp_group_2_corrected_value","exp_group_2_value_reasoning","exp_group_2_unit_who_is_right","exp_group_2_corrected_unit","exp_group_2_unit_reasoning","exp_group_2_corrected_page","exp_group_filter_rec","exp_group_1_value","exp_group_2_value","exp_group_1_unit","exp_group_2_unit","exp_group_1_page","exp_group_2_page","exp_disc_value","exp_disc_unit","exp_disc_page"
1,"Allianz","2022","121",NA,2013,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Allianz","2022","122",NA,2014,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Allianz","2022","123",NA,2015,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Allianz","2022","124",NA,2016,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Allianz","2022","125",NA,2017,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Allianz","2022","126",NA,2018,"1",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Allianz","2022","127","92",2019,"1",0.33,"ktCO₂eq",5,8,"No","No",42,42,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Graphic","No","No",42,42,"ktCO₂eq","ktCO₂eq","92","92","6. WV: other reasons (please specify in comment)","3. WV: Extracted value is related to different scope",NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Allianz","2022","128","92",2020,"1",0.2,"ktCO₂eq",5,8,"No","No",29,29,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Table","No","No",29,29,"ktCO₂eq","ktCO₂eq","92","92","6. WV: other reasons (please specify in comment)","3. WV: Extracted value is related to different scope",NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Allianz","2022","129","78",2020,"1",28714,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 1 – Direct GHG emissions","Scope 1 – Direct GHG emissions","Table","Table","No","No",28714,28714,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"Allianz","2022","130","92",2021,"1",0.14,"ktCO₂eq",5,8,"No","No",29,29,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Graphic","No","No",29,29,"ktCO₂eq","ktCO₂eq","92","92","6. WV: other reasons (please specify in comment)","3. WV: Extracted value is related to different scope",NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Allianz","2022","131","78",2021,"1",28699,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 1 – Direct GHG emissions","Scope 1 – Direct GHG emissions","Table","Table","No","No",28699,28699,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"Allianz","2022","132","92",2022,"1",0.15,"ktCO₂eq",5,8,"No","No",31,31,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Allianz Group operational greenhouse gas emissions - Scope 1","Scope 1","Graphic","Graphic","No","No",31,31,"ktCO₂eq","ktCO₂eq","92","92","6. WV: other reasons (please specify in comment)","3. WV: Extracted value is related to different scope",NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"Allianz","2022","133","78",2022,"1",30953,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 1 – Direct GHG emissions","Scope 1 – Direct GHG emissions","Table","Table","No","No",30953,30953,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"Allianz","2022","144",NA,2013,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"Allianz","2022","145",NA,2014,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"Allianz","2022","146",NA,2015,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"Allianz","2022","147",NA,2016,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"Allianz","2022","148",NA,2017,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"Allianz","2022","149",NA,2018,"2lb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Allianz","2022","150",NA,2019,"2lb",NA,NA,5,8,NA,"No",NA,149,NA,"No",NA,"ktCO₂eq","Yes","No",NA,92,"No","No","No","No",NA,"Scope 3",NA,"Graphic","No","Yes",NA,149,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",13,14,"Ann1",NA,NA,"Ann1",NA,NA,NA,11,12,"Ann1",NA,NA,"Ann1",NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"Allianz","2022","151","78",2020,"2lb",180826,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (location based)","Scope 2 – Indirect GHG emissions
(location based)","Table","Table","No","No",180826,180826,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"Allianz","2022","152","78",2021,"2lb",149599,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (location based)","Scope 2 – Indirect GHG emissions
(location based)","Table","Table","No","No",149599,149599,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Allianz","2022","153","78",2022,"2lb",138339,"t CO2e",5,8,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"Yes","Yes",NA,NA,"No","No","No","No","Scope 2 – Indirect GHG emissions (location based)","Scope 2 – Indirect GHG emissions
(location based)","Table","Table","No","No",138339,138339,"t CO2e","t CO2e","78","78",NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"Allianz","2022","134",NA,2013,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"Allianz","2022","135",NA,2014,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"Allianz","2022","136",NA,2015,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"Allianz","2022","137",NA,2016,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"Allianz","2022","138",NA,2017,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Allianz","2022","139",NA,2018,"2mb",NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,NA,"No","No","No","No",NA,NA,NA,NA,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,11,12,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"Allianz","2022","140",NA,2019,"2mb",NA,NA,5,8,NA,"No",NA,143,NA,"No",NA,"ktCO₂eq","Yes","No",NA,92,"No","No","No","No",NA,"Scope 2 – market based",NA,"Graphic","No","Yes",NA,143,NA,"ktCO₂eq",NA,"92",NA,"0. Missed out on correct value (false NA)",NA,"0. Missed out on correct value (false NA)",13,14,"Ann2",NA,NA,"Ann2",NA,NA,NA,11,12,"Ann2",NA,NA,"Ann2",NA,NA,NA,FALSE,143,143,"ktCO₂eq","ktCO₂eq","92","92",NA,NA,NA
