"","Report Name","Document comment Annotator 1","Document comment Annotator 2","Document-level expert adjudication requested by at least 1 annotator","Expert ID 1.g1","Expert ID 2.g1","Expert document comment.g1","started.g1","ended.g1","ID","Page used","LLM Year","LLM Scope","LLM Value","LLM Unit","row_expert_requested_by_at_least_one_annotator_or_disagreement","Value correct (Yes/No) Ann 1","Value corrected Ann 1","Corrected page Ann 1","Value correct (Yes/No) Ann 2","Value corrected Ann 2","Corrected page Ann 2","Value: Who is right?.g1","Value corrected (fill in if necessary).g1","Value Reasoning (select if necessary, if multiple apply choose first).g1","Unit correct (Yes/No) Ann 1","Unit corrected Ann 1","Unit correct (Yes/No) Ann 2","Unit corrected Ann 2","Unit: Who is right?.g1","Unit corrected (fill in if necessary).g1","Unit reasoning  (select if necessary, if multiple apply choose first).g1","Comment Ann1","Comment Ann2","Page corrected (fill in if necessary).g1","Expert comment.g1","Unclear record (Yes/No).g1","true_value.g1","true_unit.g1","true_page.g1","Expert ID 1.g2","Expert ID 2.g2","Expert document comment.g2","started.g2","ended.g2","Value: Who is right?.g2","Value corrected (fill in if necessary).g2","Value Reasoning (select if necessary, if multiple apply choose first).g2","Unit: Who is right?.g2","Unit corrected (fill in if necessary).g2","Unit reasoning  (select if necessary, if multiple apply choose first).g2","Page corrected (fill in if necessary).g2","Expert comment.g2","Unclear record (Yes/No).g2","true_value.g2","true_unit.g2","true_page.g2","agreement_value","agreement_unit","agreement_page","agreement_value_unit","agreement_value_unit_page","at_least_one_group_flagged_unclear","Value Ann 1","Value Ann 2","Unit Ann 1","Unit Ann 2","row_disagreement_value_unit_page_or_unclear"
"1","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","321",NA,2013,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"2","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","322",NA,2014,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"3","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","323",NA,2015,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"4","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","324",NA,2016,"1",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,FALSE
"5","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","325","15",2017,"1",63.3,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",63.3,"million metric tons","15","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",63.3,"million metric tons","15",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,63.3,NA,"million metric tons",FALSE
"6","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","326","66",2017,"1",63.3,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",63.3,"million metric tons","66","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",63.3,"million metric tons","66",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,63.3,NA,"million metric tons",FALSE
"7","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","327","15",2018,"1",59.5,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",59.5,"million metric tons","15","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",59.5,"million metric tons","15",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,59.5,NA,"million metric tons",FALSE
"8","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","328","66",2018,"1",59.5,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",59.5,"million metric tons","66","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",59.5,"million metric tons","66",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,59.5,NA,"million metric tons",FALSE
"9","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","329","15",2019,"1",47,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",47,"million metric tons","15","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",47,"million metric tons","15",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,47,NA,"million metric tons",FALSE
"10","vital energy inc_2019_report.pdf",NA,NA,"No","14.0","12.0","Report is uniper, is this vital energy?","17:09:00","17:11:00","330","66",2019,"1",47,"million metric tons","Yes","No",NA,NA,"Yes",NA,NA,"Ann2",NA,NA,"No",NA,"Yes",NA,"Ann2",NA,NA,NA,NA,NA,NA,"No",47,"million metric tons","66","11.0","13.0","company name is uniper. footnotes on scope 1 describe limitations of the reporting, but quantity affected by that is relatively small","15:14:00","15:17:00","Ann2",NA,NA,"Ann2",NA,NA,NA,NA,"No",47,"million metric tons","66",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,47,NA,"million metric tons",FALSE
