"report_name","document_comment_1","document_comment_2","document_expert_requested_by_at_least_one_annotator","row_expert_requested_by_at_least_one_annotator_or_disagreement","ID","page_used","llm_year","llm_scope","llm_value","value_correct_1","value_correct_2","corrected_value_1","corrected_value_2","llm_unit","unit_correct_1","unit_correct_2","corrected_unit_1","corrected_unit_2","corrected_page_1","corrected_page_2","comment_1","comment_2"
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","121",NA,2013,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","122",NA,2014,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","123",NA,2015,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","124",NA,2016,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","125",NA,2017,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","126",NA,2018,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","127","92",2019,"1",0.33,"No","No",42,42,"ktCO₂eq","Yes","Yes",NA,NA,NA,NA,"LLM extracted total emissions from wrong figure",NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","128","92",2020,"1",0.2,"No","No",29,29,"ktCO₂eq","Yes","Yes",NA,NA,NA,NA,"LLM extracted total emissions from wrong figure",NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","129","78",2020,"1",28714,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","130","92",2021,"1",0.14,"No","No",29,29,"ktCO₂eq","Yes","Yes",NA,NA,NA,NA,"LLM extracted total emissions from wrong figure",NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","131","78",2021,"1",28699,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","132","92",2022,"1",0.15,"No","No",31,31,"ktCO₂eq","Yes","Yes",NA,NA,NA,NA,"LLM extracted total emissions from wrong figure",NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","133","78",2022,"1",30953,"Yes","Yes",NA,NA,"t CO2e","Yes","Yes",NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","134",NA,2013,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","135",NA,2014,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","136",NA,2015,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","137",NA,2016,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","138",NA,2017,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","No","139",NA,2018,"2mb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","Yes","140",NA,2019,"2mb",NA,NA,"No",NA,143,NA,NA,"No",NA,"ktCO₂eq",NA,"92",NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","Yes","141","78",2020,"2mb",100722,"Yes","Yes",NA,NA,"t CO2e","Yes",NA,NA,NA,NA,NA,NA,NA
"Allianz_2022_report.pdf","rows 53-60 were added here, because all numbers appear twice, one time in a table (measured in t), a second time in a Figure (measured in kt)",NA,"No","Yes","142","78",2021,"2mb",54689,"Yes","Yes",NA,NA,"t CO2e","Yes",NA,NA,NA,NA,NA,NA,NA
