unit,normalized_unit,factor
,,
kg CO2e,kg CO2e,0.001
kg CO₂e,kg CO2e,0.001
Kg CO2e,kg CO2e,0.001
ktCO₂eq,kt CO2e,1000.0
Thousands Metric tons CO2e,kt CO2e,1000.0
thousand tonnes,kt CO2e,1000.0
"1,000 tonnes",kt CO2e,1000.0
kt CO2e,kt CO2e,1000.0
kilotonnes of CO2-equivalent,kt CO2e,1000.0
kt CO2,kt CO2e,1000.0
Kt CO2e,kt CO2e,1000.0
thousand t-CO2,kt CO2e,1000.0
metric kilotons CO2e,kt CO2e,1000.0
1’000 tonnes,kt CO2e,1000.0
"1,000 tons-CO2",kt CO2e,1000.0
t CO 2 equivalents in thousands,kt CO2e,1000.0
t CO2 equivalents in thousands,kt CO2e,1000.0
"1,000 t CO2",kt CO2e,1000.0
"1,000 t-CO2",kt CO2e,1000.0
thousand t-CO 2,kt CO2e,1000.0
10^3 tonnes CO2e,kt CO2e,1000.0
10^3 tonnes,kt CO2e,1000.0
1’000 tonnes CO2e,kt CO2e,1000.0
KtCO2e,kt CO2e,1000.0
MM MT CO2e,MM Mt CO2e,1000000000000.0
MT CO2e,Mt CO2e,1000000.0
MtCO2e,Mt CO2e,1000000.0
MTCO2e,Mt CO2e,1000000.0
million metric tons,Mt CO2e,1000000.0
million metric tons CO2,Mt CO2e,1000000.0
m metric t CO2,Mt CO2e,1000000.0
MT of CO2e,Mt CO2e,1000000.0
MT C02e,Mt CO2e,1000000.0
m tCO2e,Mt CO2e,1000000.0
"tCO2e/Revenue Passenger Miles (000,000) and 140.2",Other,
"tCO2e/Revenue Passenger Miles (000,000) and 139.7",Other,
"tCO2e/Revenue Passenger Miles (000,000) and 139.4",Other,
"tCO2e/Revenue Passenger Miles (000,000) and 140 tC",Other,
"tCO2e/Revenue Passenger Miles (000,000) and 137 tC",Other,
emissions,Unknown,
Tonnes of carbon dioxide (Scope 1) produced per $1,Other,
MWh,Other,
tonnes CO2e,t CO2e,1.0
tonnes,t CO2e,1.0
tonnes of CO2e,t CO2e,1.0
"tonnes (Rental cars only, rail travel not specifie",t CO2e,1.0
t CO2 eq.,t CO2e,1.0
t CO2eq,t CO2e,1.0
"t CO2eq (for Spain, London, Luxembourg, Zurich, Po",t CO2e,1.0
t CO2e,t CO2e,1.0
metric tons CO2 equivalents per CHF million revenu,t CO2e,1.0
ton CO2 (Including JVs),t CO2e,1.0
metric tons CO2e,t CO2e,1.0
metric tons CO2 equivalent,t CO2e,1.0
metric tons CO2 equivalent (Air travel Scope 3) +,t CO2e,1.0
t CO2-e,t CO2e,1.0
tonnes CO₂e,t CO2e,1.0
tonnes of CO2 equivalents,t CO2e,1.0
US Tons,USt CO2e,0.907185
Tonnes CO2e,t CO2e,1.0
Metric tonnes of CO2 equivalent,t CO2e,1.0
metric tons of CO2e,t CO2e,1.0
Tonnes,t CO2e,1.0
tCO2e,t CO2e,1.0
"tCO2e (sum of Plastic, Third-party transport, and",t CO2e,1.0
Metric tons (t) CO2e,t CO2e,1.0
t-CO2,t CO2e,1.0
t-CO₂,t CO2e,1.0
tons,t CO2e,1.0
mtCO2e,t CO2e,1.0
t-CO2e,t CO2e,1.0
tonnes CO2,t CO2e,1.0
CO2-eq t,t CO2e,1.0
metric tons,t CO2e,1.0
metric tons CO₂ eqv,t CO2e,1.0
Tonne CO2e,t CO2e,1.0
tonnes CO2-e,t CO2e,1.0
metric tons CO2 equivalents,t CO2e,1.0
metric tons of CO2 equivalents,t CO2e,1.0
t CO2 eq,t CO2e,1.0
ton CO2,t CO2e,1.0
ton CO 2,t CO2e,1.0
metric tons of carbon dioxide equivalents (CO2e),t CO2e,1.0
Metric tons of CO2e,t CO2e,1.0
tons CO2 equivalent,t CO2e,1.0
